Customer Name,Sales,Profit,Frequency,Segment
Aaron Bergman,886.156,129.3465,6,Low Value
Aaron Hawkins,1744.7,365.2152,11,Low Value
Aaron Smayling,3050.692,-253.57459999999998,10,Medium Value
Adam Bellavance,7755.62,2054.5885,18,High Value
Adam Hart,3250.337,281.189,20,Medium Value
Adam Shillingsburg,3255.31,64.53739999999998,25,Medium Value
Adrian Barton,14473.570999999998,5444.8055,20,High Value
Adrian Hane,1735.5140000000001,-2.3145999999999773,16,Low Value
Adrian Shami,58.82,21.8496,3,Low Value
Aimee Bixby,966.71,313.6597,12,Low Value
Alan Barnes,1113.838,220.813,14,Low Value
Alan Dominguez,6106.88,1869.9294,12,High Value
Alan Haines,1587.452,-378.5509,8,Low Value
Alan Hwang,4805.344,1308.5546,13,Medium Value
Alan Schoenberger,4260.784,719.7751000000001,13,Medium Value
Alan Shonely,584.6080000000001,33.715799999999994,13,Low Value
Alejandro Ballentine,914.5319999999999,264.5675,14,Low Value
Alejandro Grove,2582.898,732.7399,14,Medium Value
Alejandro Savely,3214.236,354.62760000000003,8,Medium Value
Aleksandra Gannaway,367.548,59.288399999999996,5,Low Value
Alex Avila,5563.56,-362.8825,11,High Value
Alex Grayson,660.972,-5.137100000000006,9,Low Value
Alex Russell,1055.694,-221.0544,5,Low Value
Alice McCarthy,814.012,194.9878,12,Low Value
Allen Armold,1056.39,277.3824,15,Low Value
Allen Goldenen,200.945,69.2784,8,Low Value
Allen Rosenblatt,2236.128,-98.7646,7,Medium Value
Alyssa Crouse,925.8,-62.1342,5,Low Value
Alyssa Tate,1171.814,100.87680000000002,9,Low Value
Amy Cox,5527.846,1366.0098,9,High Value
Amy Hunt,2495.3916,-196.12009999999998,8,Medium Value
Andrew Allen,1790.5120000000002,435.8274,12,Low Value
Andrew Gjertsen,2356.855,295.6668,21,Medium Value
Andrew Roberts,264.86400000000003,43.6695,7,Low Value
Andy Gerbode,1455.038,-152.7613,9,Low Value
Andy Reiter,6608.448,2884.6208,9,High Value
Andy Yotov,497.014,103.3499,10,Low Value
Anemone Ratner,88.15,32.633,2,Low Value
Angele Hood,738.504,83.96300000000001,5,Low Value
Ann Blume,1515.862,-274.9604,8,Low Value
Ann Chong,2537.6859999999997,298.8273,18,Medium Value
Ann Steele,833.398,136.49190000000002,12,Low Value
Anna Andreadi,5086.9349999999995,857.8033,18,High Value
Anna Chung,657.316,-28.700399999999995,6,Low Value
Anna Gayman,3489.0396000000005,-246.42570000000003,15,Medium Value
Anna Häberlin,7888.294,1298.0166,23,High Value
Anne McFarland,5664.022,1085.7326,22,High Value
Anne Pryor,1638.554,285.7888,19,Low Value
Annie Thurman,3831.864,974.107,16,Medium Value
Annie Zypern,1622.0179999999998,154.9503,12,Low Value
Anthony Garverick,170.584,-8.431000000000001,5,Low Value
Anthony Jacobs,4867.344,150.71300000000005,15,Medium Value
Anthony Johnson,4501.391,1158.7064,21,Medium Value
Anthony O'Donnell,161.28,12.096,1,Low Value
